Topic,Document Weight
1,137.36008952343778
2,121.04925996005132
3,85.23195953921481
4,136.41870658076195
5,68.75612146718869
6,202.1395120835126
7,69.32409133579723
8,49.17724682852767
9,120.94233394913111
10,92.64223284572236
11,150.20438765302643
12,90.12359750505605
13,160.7895909347281
14,137.47715888305683
15,179.56621747588753
16,91.38721737081818
17,162.1497334764112
18,144.050354552769
19,225.63001008806793
20,94.35668540766154
21,102.06742754310575
22,136.24400848454025
23,123.18784923707176
24,152.84281559013115
25,279.2326721956214
26,117.49252490147941
27,71.24083236647901
28,135.78175231163777
29,164.2929058259379
30,144.1561485382455
31,75.70752202401448
32,107.04182094541414
33,125.68790955216937
34,65.84576710193369
35,88.18336335138876
36,161.26288903401385
37,154.97135129403904
38,138.5275791665668
39,74.8127844395585
40,158.72290395161798
