Topic,1980 to 1984,1985 to 1989,1990 to 1994,1995 to 1999,2000 to 2004,2005 to 2009,2010 to 2014,2015 to 2019
1,6.547483298376571,13.147849813676938,14.605631979225967,18.019673330474156,23.302395720784894,27.866477071412778,19.56267296267899,22.44480609457088
2,25.457480229981687,30.227424763257584,27.221974899267074,15.30623753724703,14.650732725502,7.896561352007677,6.045772903390082,5.413802455700755
3,4.322817507055972,10.81523118089815,23.634335494667617,19.04686968068773,11.949112661397667,10.216303384578278,10.245543568087738,7.040030065040153
4,30.04581260453109,27.76863278440382,32.163461739281395,19.56147131333761,17.482221434310013,10.096108126038672,11.479159255383294,9.863525162573264
5,3.315414174625873,12.40569471642277,22.52830663774567,16.68966198493976,28.605309548766847,23.614427516051677,16.411712210849174,9.60598923200526
6,4.056717637326656,7.5673718016730565,21.65468826574532,19.055841442588815,23.882602539475634,20.806974118645797,22.213919551434103,37.28229766580145
7,11.737726287757429,22.136561790160886,26.92024694819005,13.625205101158413,10.847254224198476,13.186904739254302,12.866377345170076,12.833386028965956
8,14.053591179165865,15.579438387422634,34.91891044134167,19.476176099148542,9.970780543520924,5.321448981532399,2.2702491601828854,2.3480815681169855
9,11.537683388898781,23.05953394656771,23.364790257745195,22.05655066441046,16.97973039138157,16.762130035328102,12.28764956177349,12.072355715055853
10,9.75475898896376,16.127924446976138,19.039690108075053,8.309189388770415,13.362643422345247,8.682721942839866,10.595825894010996,11.548647388086085
11,6.5329163766221106,5.709671234563577,11.43135225700085,13.60972227440752,16.125141495401778,12.410304430621316,12.267553881498065,23.229473591109954
12,4.044154217098952,6.2043193953640605,17.707072135840672,12.955451626279096,10.823986664068721,9.111451034167825,8.265796512855436,10.503838073222571
13,8.207276887787936,23.69306616054669,30.610571519217977,16.719586501293158,15.930791884659332,7.520799116953183,9.332878889135976,3.60288819227382
14,27.947831070424193,34.76486884394112,37.61755179601814,14.344768669896087,8.715505928560951,12.76976543544004,9.315089255285452,8.027279006874094
15,10.255942257667163,23.474019858182636,22.10867535387717,12.20819434791705,8.244169108974557,2.829000709163784,1.9555502536683032,3.879363258339723
16,9.243779367958656,15.139428266503543,28.636233955130976,34.156250277759305,33.61283221813771,18.3398432952691,4.049572698520089,5.232323517270391
17,12.644009577705255,28.068746841347,31.271280148571442,35.74910198674977,24.31726411350398,24.928833976902254,20.139744961296003,11.957120477754302
18,4.69340687500477,7.729507973152856,14.636334118225342,15.122394191031056,24.454470209334566,26.374878812300828,38.724537460634096,45.77411728482653
19,17.296456764463056,18.87801801516433,18.059332671066127,10.93016036794591,4.935441790271025,5.301283519777931,7.066781703464191,7.977934485636528
20,3.819961596322097,8.286768530222357,12.34599099587464,12.031393052136492,14.580483147900429,13.75956481943631,28.611989753670983,10.088967315317278
21,1.8662581569949297,5.663512780166482,17.91723190132624,10.409047974828825,16.22397992979291,13.053373819346792,17.50398569183955,18.384085563556773
22,9.469930141602584,13.585856861814621,24.116743468991906,19.263867120997027,12.400946987525668,17.730066112246472,35.332955374479305,19.035094702359256
23,2.465320339542534,7.139546688309305,7.917787553276127,6.926294270278212,5.467668533114189,7.117491258670755,13.348116646678166,9.23406944763083
24,2.1695296908749677,4.383384130291236,10.684854392895296,17.184564729726343,26.41037467272642,28.736120130969454,38.54529271077425,38.841800194321955
25,9.364671993143714,19.614474222841103,16.27193691241429,5.88885448992732,3.8511102037239975,10.535581227346668,5.752252768960433,5.517705698356167
26,6.0775956221185865,11.680944006939466,17.2737447349106,18.777284554737385,17.178216673757458,18.751384305882496,30.64334679601359,27.571515059231093
27,9.484759951410053,12.284066573682585,16.91856798312967,11.841302726524027,8.576081908287737,8.646625973927938,7.267636436123249,7.993615829470114
28,2.038545343705386,5.437579749585929,5.953545867010431,6.69659854938925,5.800384891613023,9.003178090389868,10.520194146967713,11.69939418939468
29,5.85018822570538,8.470970387879865,34.690975803947886,29.21489876766074,29.708564402500603,31.48167233056707,28.023926829570634,28.679336318043003
30,2.3655306464774584,3.0353019453460894,2.2809747654422683,2.884730809146306,3.4938284478233226,6.5909509233761545,9.88834273873917,12.907079757409214
31,7.27501595916158,14.077894979887965,27.399637285399834,21.97005936364397,12.467971707349967,13.860263880299824,16.93956750513516,11.641084428229528
32,4.643378539958605,7.995503533598246,13.66604467773449,13.917714787781875,16.660055026786278,29.92683516735112,27.452728980577373,19.78364317284462
33,23.094334810915083,25.690340502612322,36.86045946394975,42.76884527526575,35.79006352440523,34.83643070787043,65.8496710690876,56.35996585947946
34,27.917908560817374,33.45922951010138,36.48822051258429,25.234723573568353,13.357882375233919,8.866270576404997,9.269680505022242,10.635833003942544
35,8.014219687754773,15.495346724390258,28.651107912626372,24.548068548999105,22.353142542534076,18.687402728187298,21.591181476303035,14.693168206713912
36,14.884663613934896,31.226223697481924,49.416156165043255,33.077087744512376,12.698781321498883,8.31678007178483,10.66569948675237,9.931290831010653
37,3.5935617938757933,10.775833359780151,21.056665569942858,22.27300870975624,14.278891962831626,12.900506552151125,25.02384720893625,10.2831517523492
38,28.4698614803124,61.25927582570146,51.41869082448251,20.944151995757032,8.28771736265556,11.29510685276921,9.838692505140957,3.7028220843362156
39,17.64719902118109,43.4620319631098,55.04215799957681,18.720708452826962,24.203386210117873,17.542510486662934,10.826969741693743,13.743205081008467
40,9.74115812311681,13.656588671603428,12.375376319779281,10.989885244686436,14.062151750015351,13.517832441484884,7.502163603246557,9.289818102534499
