Topic,Document Weight
1,62.38484336706046
2,81.49034317524999
3,54.019899422262284
4,214.85877127044952
5,71.30956526138067
6,58.22878716525927
7,76.85318127629067
8,67.64539675419762
9,97.76857879665471
10,88.95865206469468
11,32.58305379726592
12,44.71736875537966
13,59.482311644731894
14,62.02972344595274
15,42.769025180479595
16,59.46482223351563
17,109.84536383165117
18,87.83770143164054
19,52.163314987216495
20,90.68138232219744
21,38.01975643864699
22,99.56750438744945
23,58.163506832543966
24,93.43313294932007
25,83.20299560431812
26,91.75581138740736
27,124.81654091342915
28,42.91704009218565
29,84.79299237861343
30,46.40127674526449
31,104.89596971027949
32,93.0392027455102
33,161.86397795810933
34,41.218877088461525
35,128.97615058774466
36,80.27389923753846
37,63.0013066946036
38,32.12783832078456
39,54.75015709520805
40,77.49639263346532
