Topic,Document Weight
1,24.881197418634216
2,21.986941775505592
3,25.557657306125076
4,99.44142690123807
5,21.984908615517256
6,27.43300786393519
7,22.563556215185447
8,10.924799897601526
9,30.592995039712974
10,18.653374351863494
11,50.23647199255409
12,14.636479783869458
13,14.307861528194715
14,16.289215667348905
15,7.676931983263877
16,42.25186719197302
17,42.400250421178114
18,64.32775121632201
19,15.548203433069952
20,41.205587119266156
21,12.430222563970945
22,58.579196998999436
23,25.8183343740351
24,51.27675094678738
25,30.33237378587179
26,46.24624752854013
27,122.74279178716132
28,17.312712388497633
29,16.536349021512663
30,22.941395427232138
31,80.6838773609841
32,61.08617598722793
33,90.22422448966894
34,8.923094723091028
35,89.82920029449932
36,23.19921273174403
37,38.774142490722966
38,4.917890931202875
39,16.01473281243865
40,19.161474676601454
