Topic,Document Weight
1,12.165650348141352
2,19.137809050569757
3,2.575193189430737
4,15.204047844761286
5,2.698622478984513
6,18.066740157124524
7,9.580857236338005
8,16.449989128655673
9,15.985986346840733
10,10.228398416490368
11,21.248779896421947
12,7.551660442152792
13,27.614701416901433
14,8.160359669518577
15,4.9937015382630605
16,4.676195458628773
17,18.233540173776895
18,16.624551850834248
19,3.253733130818642
20,7.533998783408024
21,5.065768225209688
22,20.744829762909006
23,11.887985595065956
24,5.719842662288886
25,34.15345393887924
26,3.902790524126936
27,3.444066622337603
28,17.453775930636212
29,12.229008642174328
30,8.350154099138814
31,8.406276775838215
32,2.527579712611617
33,20.62061187981464
34,6.7142070662048114
35,11.357230681569556
36,20.998003269906253
37,19.60892492184302
38,8.604469118835908
39,7.144929087429043
40,8.206675175923891
