Topic,Document Weight
1,171.72435853471725
2,142.15965732572732
3,137.97350150683394
4,304.0641021220444
5,192.95407467553832
6,96.42778430620714
7,124.68238849876765
8,76.37918644417802
9,140.7675283337023
10,126.46122162213338
11,55.64074240400543
12,65.59100443877091
13,216.6265655026006
14,181.3770658271222
15,91.67254421968063
16,117.50864706233511
17,96.26902983138784
18,172.20465760626576
19,141.03309905382233
20,207.1135878514834
21,88.92701436923063
22,128.66447029703065
23,115.44772529122888
24,246.76033120711517
25,122.63453770659714
26,198.2850851061978
27,44.41754701162795
28,94.54115179766121
29,198.63062678451357
30,221.7535978453144
31,37.38280921335704
32,147.764272477584
33,102.37739450990722
34,171.636313309206
35,89.80244476909523
36,122.35022905298953
37,76.63284963384416
38,166.96654062755658
39,144.10291004168465
40,128.0718890577257
