Topic,Document Weight
1,167.9345890328067
2,50.37429720413101
3,103.7350421331719
4,90.45470417211534
5,100.03201711026732
6,159.80161536739882
7,83.00118375920646
8,72.55716054284495
9,48.22035053019263
10,51.641458231133136
11,97.74576810815527
12,80.20991835641783
13,83.0563282849508
14,65.29219143657508
15,35.6573117450511
16,78.35833512113811
17,93.96280657832048
18,181.54582842227592
19,34.76046375745514
20,127.85002914111892
21,72.11432312453773
22,125.43158956750962
23,76.93646505275461
24,231.53665711079958
25,57.57971893583366
26,132.4002274302602
27,195.94381930898325
28,40.34354807985382
29,129.45111256704524
30,46.51837757246385
31,200.64030418259154
32,144.07328728162682
33,464.02780475252615
34,57.88833121949213
35,158.08662427609724
36,82.16115905733332
37,108.93374442460123
38,131.39253096109587
39,72.75482638754482
40,61.21358825213283
