seed,t30a25o0i1000,t30a25o100i1000,t30a25o200i1000,t30a50o0i1000,t30a50o100i1000,t30a50o200i1000,t30a100o0i1000,t30a100o100i1000,t30a100o200i1000,t35a25o0i1000,t35a25o100i1000,t35a25o200i1000,t35a50o0i1000,t35a50o100i1000,t35a50o200i1000,t35a100o0i1000,t35a100o100i1000,t35a100o200i1000,t40a25o0i1000,t40a25o100i1000,t40a25o200i1000,t40a50o0i1000,t40a50o100i1000,t40a50o200i1000,t40a100o0i1000,t40a100o100i1000,t40a100o200i1000
441248140,0.5669655157476,0.5778247381935113,0.5798912862398248,0.5546238577572237,0.575430859949259,0.5598320672367759,0.552561194435905,0.5756331426890209,0.5709499651697596,0.5667118217678392,0.5771946863970534,0.5835896952637828,0.5709530330896081,0.5732494687186778,0.5809011737828159,0.5575708082871385,0.5836378172127751,0.5739313757766544,0.5612398938567358,0.5631087370528991,0.5682315023766774,0.553727884584345,0.5754722498854317,0.5760756018419138,0.5445448862619958,0.563037572476152,0.54790894041312
441713612,0.5721137298090286,0.5768069680539494,0.5829151102282721,0.5592300998180415,0.5730699092928212,0.5747273119119437,0.5577597604031103,0.5668528511464981,0.5620595530816216,0.5731444821041838,0.573126814726144,0.5756651717732685,0.5662867447313708,0.5600318626587523,0.570481092048485,0.5409519082231456,0.5694970340543791,0.5541962885987889,0.5719224805175305,0.5671436226438775,0.5685752917130447,0.5694660838773047,0.5772286345981504,0.5800775549798121,0.548465810016258,0.5735524691304552,0.56119812950202
442186657,0.5760847340445723,0.5806691183122866,0.584830411450517,0.5640937323249345,0.5702146524551426,0.5732209102325077,0.5492980326247491,0.5654101948085771,0.5626103798377021,0.5734428412589764,0.5795197501977671,0.5852261787341787,0.5451544731566733,0.5627880786560501,0.5622705946352532,0.5514594747317431,0.5723581357810454,0.5600161009481228,0.5709859458785707,0.5741863215336609,0.5745650269080612,0.5664532490872782,0.573531229911648,0.5759861832737656,0.5562445150999158,0.5778933599840258,0.570951160590746
442663324,0.5716302814600518,0.5766404966337785,0.582778596124249,0.5606662733619076,0.5811455297288906,0.5753906648232808,0.5647786023645457,0.5831455884574747,0.5777851033420235,0.5775363154882823,0.586432846033836,0.5884427311041637,0.5472668422213818,0.5626091072170487,0.5583858352979092,0.5561111143807533,0.5560213868567833,0.5615329590271565,0.5704323294377318,0.5789805144539337,0.5873105724253636,0.5717219388444528,0.5927694317573828,0.5835271069466808,0.5596306512558002,0.5704150100356684,0.5687603495813367
443130807,0.5749690460677696,0.5775028671337813,0.5866028110468137,0.5698965898479004,0.5912205176809217,0.5712477611044972,0.5464536263840001,0.5643880575934047,0.5579352214325964,0.5678434079658299,0.5734085101030507,0.575457526234607,0.5677212925653,0.5728251544696863,0.5814237123442643,0.5601128989947989,0.5774202391755375,0.5717377157030135,0.5662219591868237,0.5715529034218871,0.5695930212493385,0.5713074280081061,0.5872684106605502,0.5825509385371879,0.5561827217916193,0.5693307499045224,0.5641247200621635
443599403,0.5694750124647475,0.5799778939180454,0.575893759798344,0.5553584124311427,0.5793186844600604,0.5804500341898728,0.5445205999218188,0.5803408788655843,0.5589098522839616,0.5700529581776616,0.5833225776762243,0.5785725091258996,0.5558260931577017,0.5749203113459415,0.5781631157126896,0.5421496421911156,0.566798006162376,0.547380122887024,0.5615409047237792,0.5805465871869187,0.5820061168367291,0.5624309111045015,0.5809372843443491,0.5739280267933967,0.5632627776678628,0.579456280415733,0.5693389294667692
444067386,0.5701584519859036,0.5726728857969289,0.5758726327509084,0.5624581129103354,0.5759427282914289,0.576702691615444,0.5465459895057866,0.5726306315369278,0.557924345791998,0.573586093903538,0.5695611182381115,0.572774836483782,0.5686642005667855,0.5766448210984964,0.5761147789131,0.546395782455489,0.5633185704288622,0.5586416457402694,0.5686324265606322,0.5743833931409018,0.5744779335400928,0.5559038141196689,0.5743940791131213,0.5632081939930035,0.5633467447288147,0.5730388554248899,0.5700511835595672
444533307,0.5680426627450658,0.5779111016738196,0.5794144490850015,0.5867187345138773,0.5851539778591818,0.5922967363042458,0.5586383297386129,0.5834937283067292,0.5708642625934487,0.567087207091501,0.5724375593770576,0.5713944359524495,0.5593173932551592,0.5773153789548298,0.570704955634451,0.5646771547244896,0.5763750143815267,0.5691837523223043,0.5693971865081371,0.5798178996366581,0.5783950087578775,0.5659416532710837,0.5711225930801461,0.5699591001432986,0.566331686393043,0.5721167757008517,0.5772320132536424
445008789,0.5662848983194291,0.5787848982530719,0.5781463553602113,0.5479495480761635,0.5661317626832781,0.561742318636237,0.5563147943373731,0.5783835005283634,0.5662715725946322,0.5780157141500091,0.5757921921727286,0.5800430146404545,0.5654088594223992,0.565531127198388,0.576071412614195,0.5684869546336689,0.5663482125490822,0.5719382459045818,0.572480869873995,0.568095964679584,0.5696999559239924,0.5671549381571908,0.5713628189443775,0.5742945811258824,0.5570237113441279,0.5704649752698863,0.5590730507838728
445479456,0.5722455535201482,0.5800517401055124,0.5779652877139719,0.5731872883614353,0.5929605669858806,0.5834279554119077,0.5335266226542202,0.5747115979930615,0.5528882977425883,0.5742658103946796,0.5808774408606983,0.5816686570679823,0.5642727606865339,0.5834216980993032,0.5774676469373117,0.5503265953216718,0.5659716597437408,0.5590030105825243,0.5704927055020165,0.5679209720602402,0.5739843574300657,0.5767389131033556,0.583977786433764,0.5855070634313461,0.5585602650953903,0.569880681006173,0.5653442953172101
