seed,t30a25o200i1000,t30a25o500i1000,t35a25o200i1000,t35a25o500i1000,t40a25o200i1000,t40a25o500i1000
455303182,0.5715618804947565,0.5652587504319853,0.578917884267584,0.5817031947141749,0.5750340628605632,0.5771649547685451
455411273,0.574091385336486,0.5714582109401135,0.5752869798733455,0.5743177959164133,0.574008911347563,0.5733685477181156
455520107,0.5767771484949598,0.5773854442190063,0.5737587910149989,0.5689180007970129,0.5780246375080348,0.5788596095118679
455624767,0.5787520779528268,0.5773830085499634,0.5798380174558329,0.5757821183584079,0.5950030478661937,0.5835326973326246
455729442,0.5862425771696657,0.5803830053839442,0.5699694613795125,0.5734008788808516,0.5621227836215491,0.5629799557705549
455833066,0.5925862466861844,0.5852730721349911,0.5723618059720315,0.5710531851645584,0.5820875722167379,0.5786518495361955
455941811,0.5855881353597124,0.5741076689393905,0.5715655744165847,0.5678541181220232,0.595399468464746,0.582226299241232
456044734,0.585639479083498,0.576348357874901,0.5863001309877444,0.5790279416285506,0.5755513623992063,0.5721964724352113
456148499,0.5705460986798873,0.5586821944773402,0.5793780064161921,0.5752534365776537,0.5714406560022022,0.5634881766925093
456259168,0.5681863247163369,0.5692946003210616,0.5689990924952076,0.569927438448416,0.5751759475559647,0.5720968870867542
