Number of Topics,Gensim,Mallet,Sklearn
5,175.40910482406616,91.91690707206726,47.21977114677429
10,192.03786087036133,90.00355815887451,71.29470634460449
15,175.77883529663086,93.35640168190002,127.02099776268005
20,175.83817386627197,126.62215948104858,135.3566176891327
25,177.9788374900818,100.98660922050476,163.66187739372253
30,180.65799069404602,117.7460675239563,184.4904327392578
35,185.65609097480774,107.86474871635437,212.00999689102173
40,191.38248014450073,132.429918050766,235.78801155090332
45,198.80132865905762,122.31243824958801,264.26278424263
50,197.4209816455841,113.56507396697998,307.46581077575684
55,201.93767786026,126.85463905334473,322.191285610199
60,203.78601336479187,116.1779375076294,349.93270111083984
65,206.3951916694641,119.17866277694702,375.8384211063385
70,211.99366736412048,117.68093204498291,405.1654679775238
75,220.60462355613708,119.31244254112244,425.2231709957123
80,225.56669998168945,119.24612545967102,460.9324641227722
85,255.908221244812,122.30795478820801,489.5573296546936
90,243.06690526008606,123.88217997550964,516.5126452445984
95,262.36520624160767,133.47467708587646,546.3348052501678
100,326.71362805366516,123.3589518070221,575.6863195896149
