Number of Topics,Gensim,Mallet,Sklearn
5,0.431201453603161,0.44693583936754633,0.47785841349126407
10,0.47709999394690145,0.5071125606007963,0.4615272618382852
15,0.5107424191065424,0.5262624939149163,0.4829063371540846
20,0.5677603401326201,0.5547207872135521,0.52246680704087
25,0.5597877091179492,0.5525057591008707,0.4951481819462935
30,0.5393988938600398,0.5631106309566632,0.505691252504241
35,0.512526023272156,0.5654582377303253,0.49071012172801004
40,0.5034817941069865,0.569375532864304,0.49540088272405525
45,0.49948962108684564,0.5574142128986654,0.4835495614078468
50,0.4991253902707505,0.5710209993047276,0.4840279407983779
55,0.4992275777634489,0.5623204954924974,0.4954910456819188
60,0.486905021959572,0.5468358054855453,0.48796894234690463
65,0.49457068685840433,0.5585143973501097,0.5073291643165362
70,0.47157171802257747,0.560453712309246,0.4936825451526024
75,0.47222471770346736,0.559837653629485,0.5013227411570176
80,0.4832850622413556,0.5473800318478,0.49750629305109406
85,0.47455269806198913,0.5481016130769037,0.4856393014961317
90,0.47232821357178356,0.551253043532629,0.49256790485870344
95,0.47634780187149983,0.5440162258310713,0.491618360095488
100,0.4770571948836954,0.5438518615152206,0.49338181857114494
