Number of Topics,Gensim,Mallet,Sklearn
5,166.67880487442017,83.71496081352234,47.11550283432007
10,174.53111386299133,86.26639676094055,70.22313833236694
15,171.71020078659058,96.70338892936707,131.94998621940613
20,177.27286291122437,99.96034002304077,134.05801153182983
25,176.99915480613708,103.17338967323303,158.82340574264526
30,179.80609846115112,119.98420810699463,180.51129817962646
35,184.68440532684326,110.74863147735596,209.1704339981079
40,189.62052297592163,142.89770030975342,235.75054740905762
45,192.05134844779968,123.5025327205658,259.16365337371826
50,203.2331085205078,123.0599536895752,286.42746210098267
55,205.4546766281128,127.03187680244446,317.2439455986023
60,204.01712274551392,115.08737301826477,338.85156536102295
65,209.5090365409851,117.21489524841309,363.9787652492523
70,210.73187685012817,130.43452143669128,392.13110613822937
75,214.2879409790039,117.79264807701111,426.31041836738586
80,224.28413486480713,119.22131729125977,454.11590480804443
85,229.56984567642212,119.89548373222351,475.9333829879761
90,240.3182556629181,129.5130786895752,534.0166254043579
95,255.1118347644806,120.12112522125244,596.9201416969299
100,332.7137293815613,123.44506311416626,603.2192332744598
