Number of Topics,Gensim,Mallet,Sklearn
5,0.5067820917625264,0.43581026649669685,0.48096980722591187
10,0.5084944682976251,0.5442117058305028,0.46164229409937824
15,0.5491991963039131,0.5515959921077747,0.506062292593829
20,0.5235580200655833,0.5839264351841786,0.5396452235896829
25,0.5603017818096981,0.5799057043720457,0.5079858897819349
30,0.5756318017599431,0.5899069002171593,0.5306533903252239
35,0.5616292067618802,0.6000609526423889,0.5064217894170632
40,0.5166553897895252,0.5946648966173914,0.5322730075097443
45,0.5364119799745795,0.5840643873892181,0.5102871349726927
50,0.5168524319080436,0.5875484181557471,0.4982756717767163
55,0.5093988948872366,0.5781968993545926,0.5113392749066482
60,0.5253770665089796,0.5837447524997266,0.4782767434145457
65,0.5149026516741337,0.5778239190569572,0.4802599999015242
70,0.5255196330286789,0.5810381257384875,0.48349391311120027
75,0.4985079707014188,0.587670858784524,0.5101740020271737
80,0.48329337423995045,0.5780634632092505,0.48379404405754867
85,0.4941989207075826,0.577671441635852,0.49180664343435715
90,0.49739084511990717,0.5835216778504572,0.5002759274601052
95,0.49832702493085357,0.5690185651436166,0.48942624670987067
100,0.5011000624628464,0.5732025350832831,0.493491857223254
