Number of Topics,Gensim,Mallet,Sklearn
5,0.47537192594132405,0.43549781411229266,0.45532478830943346
10,0.5079340188963666,0.5154515650319157,0.46636050783575655
15,0.5483566170575542,0.5320183833184832,0.5090662411148708
20,0.537788805436229,0.5442952054194464,0.5090638695414463
25,0.4986019065190383,0.5644554632741666,0.5123375638080778
30,0.5046549731416373,0.5611142493740765,0.5047272051724062
35,0.5287280839323658,0.5627911012690625,0.5121083477996193
40,0.49099168292209255,0.5737080354193329,0.49760727808921884
45,0.5027004268277917,0.5607903597679726,0.4934442057584598
50,0.49102959388576245,0.5647129925971891,0.47930597636574435
55,0.48377210608733995,0.5583249438287222,0.48586894034340794
60,0.4886197725886794,0.5665898899662263,0.48352367237134036
65,0.5002083182521798,0.5615417439600143,0.4830746864921925
70,0.4804045981628928,0.5700550925037039,0.4858687282612497
75,0.49571782672956954,0.5588290060829649,0.4944201683439802
80,0.47337113126327157,0.5521318550290614,0.48690819887877235
85,0.48500124865939975,0.5590802682074376,0.49600389819832585
90,0.4670867462506763,0.5594771546613082,0.4968580975089156
95,0.45539392890138797,0.5467132499659006,0.5054567164929636
100,0.4610313983931218,0.5452253817203334,0.4955605529106034
