Number of Topics,Gensim,Mallet,Sklearn
5,166.96987223625183,82.96147155761719,50.003424644470215
10,171.39680981636047,95.17200374603271,73.15057349205017
15,175.33282709121704,90.63666296005249,113.34975671768188
20,176.88830137252808,108.23441886901855,133.21849012374878
25,179.32541918754578,98.97665190696716,158.49161767959595
30,181.46425652503967,123.63774180412292,190.55887484550476
35,186.21402549743652,133.36016988754272,217.64699912071228
40,191.77363061904907,129.95942378044128,243.38804864883423
45,194.7937331199646,108.11745858192444,269.103054523468
50,197.52819871902466,110.73025131225586,296.43397068977356
55,199.37348175048828,126.37693119049072,319.9226438999176
60,204.53499746322632,114.33584022521973,345.3458981513977
65,208.4759430885315,130.51827144622803,385.69158911705017
70,213.50596570968628,119.9468994140625,395.8978295326233
75,218.94143795967102,122.40455365180969,438.8298387527466
80,225.5066363811493,119.16109228134155,471.487247467041
85,233.6252269744873,130.97691130638123,510.7642979621887
90,241.42976450920105,120.88435578346252,521.1036360263824
95,257.2212736606598,121.2182080745697,566.0685782432556
100,352.394469499588,121.59307432174683,580.6737768650055
