Number of Topics,Mallet
5,40.09926772117615
10,39.505290031433105
15,41.27838110923767
20,40.95045804977417
25,42.24885678291321
30,43.58786702156067
35,43.738537549972534
40,43.44523525238037
45,44.52816653251648
50,44.901588439941406
55,44.43041944503784
60,43.60978317260742
65,47.51599431037903
70,49.5441517829895
75,49.390809059143066
80,50.728724002838135
85,48.76758861541748
90,49.146366596221924
95,51.11371970176697
100,49.86818170547485
