Number of Topics,Gensim,Mallet,Sklearn
5,155.23461985588074,86.10079169273376,45.1134352684021
10,156.8454303741455,95.90702772140503,60.19603681564331
15,158.86065244674683,98.39807605743408,93.11122989654541
20,163.33730244636536,99.19163250923157,115.550363779068
25,164.1754231452942,133.52355861663818,136.2804012298584
30,167.6587312221527,111.8581907749176,159.25796914100647
35,171.01254868507385,111.51291060447693,179.68216943740845
40,180.94801115989685,113.61237215995789,201.61287569999695
45,179.55586123466492,114.39629435539246,223.25148916244507
50,180.74637460708618,114.04879355430603,245.42292547225952
55,183.9757866859436,115.07439494132996,264.81935477256775
60,191.06331205368042,116.86895394325256,286.9985897541046
65,188.85407161712646,121.02714562416077,308.79700231552124
70,193.9074671268463,120.19414901733398,331.07992601394653
75,198.97924160957336,120.51421666145325,352.52022528648376
80,217.48187375068665,121.73104095458984,375.4029333591461
85,219.46493887901306,122.84187150001526,395.50280356407166
90,249.92416143417358,122.99664449691772,416.3462209701538
95,256.72266578674316,127.45205235481262,439.6666488647461
100,336.9851236343384,128.43054270744324,460.6095130443573
