Number of Topics,Gensim,Mallet,Sklearn
5,170.06587290763855,85.09663152694702,53.337841272354126
10,174.60388493537903,86.88610887527466,77.1375195980072
15,174.71168875694275,91.76124286651611,110.54541611671448
20,176.88915514945984,98.75255346298218,135.17897415161133
25,180.6080424785614,102.71233534812927,161.47688841819763
30,183.31932854652405,104.38257050514221,191.22358536720276
35,189.60500121116638,115.37583041191101,221.40803694725037
40,194.0686137676239,106.58677911758423,252.1212317943573
45,199.39830541610718,110.64771771430969,272.89925169944763
50,199.54131817817688,125.82837510108948,305.17164516448975
55,205.0265781879425,113.23115062713623,327.64154744148254
60,208.12532234191895,114.30130505561829,348.80858039855957
65,209.44186234474182,127.67209076881409,367.7477436065674
70,213.18031191825867,118.76448726654053,410.15944838523865
75,235.08073592185974,120.81205582618713,437.34389877319336
80,227.90653276443481,130.44433093070984,470.1624662876129
85,234.73916864395142,129.64061665534973,494.93971991539
90,242.1475706100464,122.51802325248718,526.3119432926178
95,261.5922374725342,121.42430067062378,603.2251451015472
100,336.8346266746521,123.25236535072327,593.9734160900116
