seed,t35a25o200i1000,t35a25o200i5000,t35a25o500i1000,t35a25o500i5000
453530737,0.5755617093435594,0.5666832357803243,0.5778266751908644,0.5663829276480454
453692879,0.5737558569840248,0.5812221237004026,0.5725701448292699,0.5807197469420535
453841531,0.578564983007694,0.5766888235008703,0.5813523567027457,0.5823087303664247
454002961,0.5801123930775868,0.5762046242604443,0.5797382234156805,0.5792380905408726
454176016,0.579258355108008,0.5783661545510864,0.5711539425296085,0.5768255821826398
454341097,0.5800966465553355,0.579814312581676,0.5787512987742366,0.5932575145910751
454507367,0.5872513429391054,0.5875505764356315,0.5857477606565711,0.5884971914453114
454684886,0.581774534529238,0.5793350132742573,0.5829359323549071,0.5913660647970733
454865927,0.5861918678806376,0.5701601641183754,0.5856622922517051,0.5786103747683643
455030244,0.5887532491541989,0.5771957431254995,0.581397054893423,0.5769606147247274
