Number of Topics,Gensim,Mallet,Sklearn
5,167.49769806861877,84.11944532394409,51.74963068962097
10,173.67081928253174,87.81119418144226,73.65525245666504
15,176.2137598991394,97.08151125907898,111.11381888389587
20,177.22806334495544,95.29843878746033,135.07886958122253
25,178.4250557422638,100.837717294693,162.83104515075684
30,184.5419363975525,123.27461266517639,191.712908744812
35,186.97159600257874,133.788254737854,212.0893738269806
40,197.0210781097412,126.0334403514862,242.72066640853882
45,197.1507122516632,105.19751787185669,269.3200526237488
50,200.0436408519745,122.15529179573059,296.1402463912964
55,223.3466477394104,128.62761569023132,325.4074890613556
60,205.02152633666992,126.83402395248413,346.3120448589325
65,209.70899391174316,120.26065802574158,379.59050011634827
70,213.329683303833,127.97117877006531,407.7880415916443
75,219.5343029499054,128.9031732082367,448.6330840587616
80,234.8736162185669,119.96400332450867,490.36204385757446
85,237.3281192779541,121.1175844669342,501.1469964981079
90,244.01768326759338,122.75358414649963,539.7455747127533
95,260.2066345214844,122.36265206336975,564.5894639492035
100,331.47972202301025,126.26218748092651,609.711035490036
