Number of Topics,Gensim,Mallet,Sklearn
5,166.35616493225098,84.06335234642029,50.211004972457886
10,170.67020559310913,86.49207353591919,73.0643994808197
15,172.14213752746582,92.69048380851746,116.67241764068604
20,176.36015582084656,98.30712604522705,134.10718894004822
25,177.2486867904663,99.78372573852539,159.45514941215515
30,182.18959283828735,117.53485465049744,187.24010348320007
35,190.33102345466614,103.51711630821228,210.89539432525635
40,192.64716982841492,119.27611136436462,242.20627355575562
45,194.6522285938263,106.54275321960449,262.21422362327576
50,197.78544187545776,121.4866144657135,288.21969628334045
55,200.57020831108093,125.70869040489197,313.82746624946594
60,204.76288628578186,115.71515679359436,343.7547347545624
65,225.98635721206665,127.4363305568695,364.4381744861603
70,212.6795129776001,117.86319470405579,408.8356385231018
75,216.77451944351196,130.21610474586487,419.4126753807068
80,224.6913137435913,119.0505518913269,460.41807675361633
85,229.78548383712769,118.82493352890015,491.0796732902527
90,254.10143566131592,129.47268557548523,570.5818099975586
95,262.8541326522827,120.39576292037964,619.7279779911041
100,331.50855255126953,121.1126458644867,586.9486994743347
