seed,t40a5o200i1000,t40a10o200i1000,t40a15o200i1000,t40a20o200i1000,t40a25o200i1000,t40a30o200i1000,t40a35o200i1000,t40a40o200i1000,t40a45o200i1000,t40a50o200i1000
467148049,0.5874714823383997,0.5842384864848675,0.5702975922999304,0.5783888569242757,0.5561498630977176,0.5856411978342798,0.5854024395009663,0.5730114160935861,0.5723662049645734,0.5739049632854378
467332378,0.5866866205221424,0.5773195145704102,0.5906229754775474,0.5799864993367456,0.5733721518865549,0.5697977433482513,0.5830966381553769,0.5670691129761463,0.5804754066047637,0.5693253644670507
467520885,0.5780275444144485,0.5869141744907356,0.5878786731227807,0.5722557607725566,0.5764341768852081,0.5768863138123079,0.5643090341481827,0.5758202723811087,0.5757154731342382,0.5805718425367431
467708611,0.57896323912491,0.5846689000897446,0.5891913332991533,0.5774710462167304,0.5923283927199777,0.5841065543224373,0.5797603385147305,0.5783308965609533,0.5738871477440329,0.5785433006065447
467893003,0.5755020681953019,0.5703660578618474,0.5759152152013369,0.5890496690829778,0.5815095601522972,0.5733287410880153,0.5852212410004672,0.5821147202837594,0.5778652096381443,0.5715278990836453
468079749,0.579949520912422,0.566586849950018,0.5776784554858928,0.5840824440425825,0.5773452539577033,0.5842112291799941,0.5826064344753714,0.5742163249979686,0.5743680987905079,0.5875571938241447
468266812,0.5851228722714821,0.578718306439686,0.5819167770318746,0.5764648354718795,0.5728034118085921,0.5830178708423739,0.582542225997537,0.5748333724876163,0.5658935165436085,0.575335363734316
468446519,0.5796151722356121,0.5941850123233259,0.5797453525084628,0.5776113344870553,0.5823910640551588,0.5750860243062401,0.5682666182565054,0.5765484873751576,0.5624975312822256,0.5799835261270262
468630321,0.5842725283606585,0.5788828520298459,0.5863002045835402,0.5882614872325507,0.5862848671276284,0.5788108260320487,0.5796470248064463,0.5621024633963454,0.5784494627290249,0.563530284242769
468819537,0.5737958004650514,0.5879623417222717,0.5834148937467657,0.5976492091320844,0.5706722925166229,0.5722324203090465,0.5775142572591115,0.5862286275944548,0.5796021566623792,0.5653099508632315
469003743,0.5663675304586979,0.5787198882682233,0.5865006751258212,0.5858430541531157,0.5839161940046516,0.5790060259121521,0.5656599740464,0.5833283415273489,0.5758774068780613,0.5779486159737539
469190828,0.5674377064223476,0.5742406779228633,0.5825224346585877,0.5715305031080286,0.5801820710637896,0.5884827524150404,0.5788858691982822,0.5784469746701703,0.5840833388332836,0.5727889924699461
469376712,0.5874267198537146,0.5770178240503326,0.5542130941099777,0.5889991375577811,0.5735739056980113,0.5876995718028238,0.5732735617396466,0.5640497120596439,0.5688638308029607,0.5613889465654067
469560915,0.5765714987784284,0.5895972745683373,0.5771150299896838,0.5819092320179033,0.5871280068931264,0.582637439740072,0.5652699854292009,0.5714423894870985,0.5810069221851133,0.5710069613694229
469745133,0.5734524219127741,0.5750585975268279,0.5753362629636546,0.5665319397277105,0.5677966276489838,0.5797900291900251,0.5804350982499789,0.5638911861217931,0.5847013615168098,0.579345421868698
469932333,0.5818965398893589,0.5643069679057691,0.5802390067886879,0.5896882940471715,0.5708881980103439,0.5923539263511864,0.5822849703842388,0.5657081970890732,0.5712021007393171,0.5685489071096252
470121105,0.5792178475825379,0.5773508719171178,0.5715048513041616,0.5795477363474931,0.5651303717301739,0.5851796601893393,0.5772132317170694,0.5762002704477469,0.5799120271001836,0.5742735112390381
470305223,0.5731088232251531,0.5764517268981836,0.578869083942425,0.5805165350018424,0.5725587889688273,0.5848495142073655,0.5676564313450883,0.5789447021867445,0.5708541181296048,0.5644761055737286
470493144,0.5820847065251111,0.5777733277375214,0.5847587714574172,0.5817062487659694,0.5808916834819373,0.5685052965230498,0.5833573951486832,0.5788970955416937,0.5734347471124446,0.5824844722844269
470678826,0.5781669403685428,0.5763175675401339,0.5635429504625943,0.5863650063823612,0.5712525271533628,0.5698273571365278,0.5729674254797349,0.5668482510283347,0.5721983837433218,0.5609608055431913
