seed,t40a50o0i1000,t40a50o50i1000,t40a50o100i1000,t40a50o200i1000,t40a50o250i1000,t40a50o500i1000
506284898,0.5537425430936829,0.5843839495390604,0.5781120729239377,0.5766546830744389,0.5786691290307072,0.5684599334554429
506391922,0.5699767672210104,0.5829890108045637,0.5898774806157386,0.5861792363827238,0.5857899233140029,0.5807373608593874
506497837,0.5592531692701207,0.5724699036707993,0.5803670592982029,0.5700773240705065,0.5697694587294799,0.5638146364118181
506605168,0.5634979829303827,0.5662858476554418,0.5721345363533663,0.5756653530769149,0.5784174923313614,0.5686132394099837
506714033,0.5653882368413286,0.5703587057920565,0.5766058431552217,0.5740612522701269,0.5766822598071402,0.573070057268718
506818661,0.5595167795528492,0.5685480134942559,0.5728673467017474,0.5608972219662594,0.5637061658604616,0.5559331127148625
506926841,0.5584270343775743,0.5684921857751583,0.5737952264253195,0.5717427852415049,0.5702166880984416,0.5667853235597582
507034819,0.5572028005328151,0.5720008201032435,0.5690666975207457,0.5695552264333604,0.575939391442341,0.5704913146586421
507143524,0.5632165498764437,0.5695920877728706,0.5807297026290448,0.5732036095798198,0.5814593918246572,0.5640947630418717
507251540,0.5629375964264339,0.5778717451084446,0.5722663741260005,0.5729189635218939,0.5683248610869575,0.5675804019206028
