Number of Topics,Mallet
5,0.4117028685990903
10,0.481161753599021
15,0.4659795660537134
20,0.485684169933279
25,0.46929763106365013
30,0.46598225998756343
35,0.47874958311403687
40,0.4759008552915763
45,0.47226759446626243
50,0.43329192702515246
55,0.458209854897661
60,0.44202142319919735
65,0.4568461867643478
70,0.44790002599799505
75,0.4441650794992751
80,0.4426709905728673
85,0.425197868745596
90,0.42602556983526196
95,0.4248513057144508
100,0.429138022996064
