Number of Topics,Gensim,Mallet,Sklearn
5,0.39148031703539266,0.43148303464392923,0.4401981088526227
10,0.5173822746417773,0.5102068500080734,0.4840705547149269
15,0.5284805272968032,0.5274819890627619,0.47405865824061805
20,0.5117500590736037,0.5420806435297506,0.5165107969790912
25,0.5107911728827564,0.5625049316405875,0.5019225568674652
30,0.5187919818587627,0.5624246167832649,0.4916737882194203
35,0.5051467168664242,0.5647001224670518,0.4821848754876077
40,0.522895902416265,0.5551924015132915,0.47555351565033827
45,0.5077248846457955,0.569106652501707,0.47411424971527527
50,0.5141400989165458,0.5621590325994553,0.4933567233761114
55,0.4757497226724654,0.5668126204638102,0.4756123140085713
60,0.4818389880023783,0.5514553063880441,0.49472040172539106
65,0.4833053902348663,0.5479848513801936,0.4937437198041324
70,0.469946634098749,0.5526050339078987,0.47283588517521885
75,0.4558519752730184,0.5487991793771294,0.49119822856484213
80,0.467712149109132,0.5548093737375343,0.49109201508921707
85,0.45869891645800764,0.5484870552788627,0.4792082407474586
90,0.46493322800917497,0.5490157141213928,0.5052167996004036
95,0.49028130237420303,0.5406756399599033,0.49503471166252067
100,0.4724879513415556,0.5502999727409892,0.48648349732924556
