seed,t40a15o100i1000,t40a15o200i1000,t40a20o100i1000,t40a20o200i1000,t40a25o100i1000,t40a25o200i1000,t40a30o100i1000,t40a30o200i1000
475877307,0.560839657883702,0.5571937645615572,0.5830232488637344,0.5851818657818292,0.5747340173825546,0.5841916169307477,0.5739262026536824,0.5765301785726804
476023427,0.5652530764424597,0.5704935014725444,0.5783582577410348,0.584851370049375,0.5842131215633877,0.5885759416689602,0.5920413029451765,0.5887766010008118
476172137,0.5717106425177276,0.5761869344500076,0.5754250456428149,0.5824452011460017,0.5735489758678949,0.5814594625954911,0.5886249295250592,0.5800993832803438
476318764,0.572545457175891,0.5743363149837045,0.5891807969533627,0.5935450046019936,0.576686630721029,0.5767277903585019,0.5778429123004524,0.5772476619360416
476464816,0.5873704429100174,0.5867032648159567,0.5828977980079966,0.5925242923435661,0.5834844450860144,0.5810073096040004,0.568481789836879,0.567081781737812
476611665,0.5741122355231323,0.5824888683207593,0.5785543577512859,0.5755753566847635,0.5843251458571143,0.5876944165570986,0.5752959868148775,0.5703344737376632
476759454,0.5827008715768812,0.5742079151222954,0.572695773326777,0.5714655287725414,0.5883124769354071,0.5772081253262991,0.5663778092782719,0.5701752600671902
476902694,0.5716855837655436,0.5831078181501347,0.5882373892061261,0.590502914035973,0.5717484504469464,0.5715473964211312,0.5870899304330963,0.5933137789725403
477047725,0.5787068559990673,0.5849962343177819,0.5732034672380181,0.5797490938992154,0.5707103134367673,0.5731760769460308,0.5860621201263303,0.5815170457387513
477191807,0.5843393805979156,0.5906640793135963,0.5839997111203257,0.5857676185959092,0.57893484131012,0.577563955966059,0.5820184752590187,0.5946476000370184
477338805,0.5924691845677375,0.6005217042243364,0.5786027955327437,0.5786084254238771,0.5753587763044443,0.5784306433074972,0.577929569684643,0.579260123706888
477484353,0.5714634389321352,0.5706236815919187,0.5606708351422729,0.5676461123158084,0.5678332468011377,0.5704607569393889,0.5823967798264218,0.58679308148832
477632046,0.5847146956122544,0.5844951821913384,0.5853160757542734,0.5850317761473052,0.5750300052213031,0.5736083435805421,0.5742450981752201,0.5750141440745977
477779943,0.5760713575008763,0.5688171895024405,0.5719200283070146,0.5694639667411447,0.5714370776834188,0.5762712587021281,0.5773841814581978,0.5746402738278839
477924294,0.5754383209253507,0.5840648120043239,0.5876083331872729,0.591196005912381,0.5704192332493305,0.5717972605682174,0.5751876150448799,0.5717776969939523
478071168,0.5863814504805719,0.5882752836826834,0.5782299027695214,0.5718014473881132,0.5761294253917242,0.582227534370506,0.5757310394963063,0.5776219784172747
478215740,0.5910201528521984,0.590922823558596,0.5842937820896108,0.5799655580963277,0.5809902438663984,0.5886342637262056,0.5787873335598162,0.5728071804671553
478362170,0.5841619542094236,0.5878741633202937,0.585268784384979,0.5865682715327839,0.589488547894488,0.5892262358975116,0.576975581710746,0.5768002931960927
478506010,0.5836631348322194,0.5891279296115771,0.5860391673736073,0.5857809345721392,0.5675843553705844,0.5655039505774443,0.5759411429431094,0.5725604035825045
478651724,0.5753176846027912,0.5817809929034351,0.5753057346821862,0.5680250681743793,0.5818646409661439,0.5754450082360217,0.5810756919862514,0.5887127949787636
