seed,t35a25o0i1000,t35a25o0i5000,t35a25o0i10000,t35a25o200i1000,t35a25o200i5000,t35a25o200i10000
449379259,0.5681292773352391,0.5690420634380153,0.5742948360263208,0.57841344583067,0.5816158870915968,0.580011847866182
449775392,0.575130929720579,0.578408551030639,0.576924212761962,0.5821550179108556,0.5786023840438409,0.5798335062633809
450178167,0.5701501972665128,0.577978725131806,0.5765239711548996,0.5889234448191031,0.5778916799969466,0.5811037155369705
450553439,0.5689349252663893,0.5756866429998097,0.5766496935442244,0.5834205731277363,0.573903271351644,0.572591754386839
450903604,0.5738036809188894,0.5652509106675246,0.5727028768733542,0.5762091500265675,0.5820521029348734,0.5815124865286853
451304234,0.5728463496461529,0.5742086094364531,0.5779102768590914,0.5882814940417656,0.5788664801747548,0.5770175151129179
451665193,0.5565660353973213,0.5715738771899939,0.5722473553832288,0.5678138220648513,0.5748962764763662,0.570852969883882
452071896,0.5623035448213521,0.5798000696919459,0.5816234832640934,0.578759211244305,0.5816425115686743,0.5797598485527607
452450104,0.568426157522408,0.5761568485392466,0.5724063153750756,0.5816345310826554,0.5855972074335896,0.5841519455103421
452840754,0.563729260630687,0.5801610463322538,0.5809492223899904,0.5681647372449347,0.5672888070403026,0.5675539693072391
