Number of Topics,Mallet
5,43.852126598358154
10,44.5617835521698
15,44.924039125442505
20,46.820127725601196
25,45.150880575180054
30,49.064805030822754
35,47.4479296207428
40,49.559290647506714
45,50.997602701187134
50,50.58904767036438
55,51.20149278640747
60,49.688905000686646
65,46.50948214530945
70,52.34009313583374
75,51.51445412635803
80,52.31886315345764
85,51.21272826194763
90,53.574347257614136
95,53.98760938644409
100,50.01570773124695
