Number of Topics,Gensim,Mallet,Sklearn
5,166.76198530197144,83.23281764984131,47.48726749420166
10,167.57680487632751,85.43082165718079,71.07595992088318
15,174.2526502609253,89.95876789093018,124.71675372123718
20,172.7579483985901,97.71280550956726,131.93139743804932
25,176.01121616363525,98.64036965370178,157.2678952217102
30,178.531507730484,118.909987449646,181.40284276008606
35,183.4743218421936,105.3274598121643,207.13973593711853
40,191.1263291835785,119.10000944137573,233.61691808700562
45,191.5000340938568,106.81502962112427,263.8884072303772
50,194.64586520195007,120.91295456886292,285.67584919929504
55,216.82409048080444,126.04333233833313,312.31686449050903
60,202.90764141082764,126.92225289344788,350.9358665943146
65,206.97842502593994,115.60030150413513,366.0677213668823
70,210.58412337303162,117.4937973022461,404.97848868370056
75,215.4528079032898,118.44580602645874,431.2659640312195
80,222.3635609149933,119.70183062553406,455.0907003879547
85,225.97778749465942,119.15786790847778,498.8053560256958
90,249.7593333721161,120.93355917930603,545.6902616024017
95,255.58912110328674,120.95040202140808,546.7368621826172
100,329.60296654701233,121.66753339767456,589.3701732158661
