seed,t35a25o0i1000,t35a25o50i1000,t35a25o100i1000,t35a25o200i1000
447464991,0.5670034944261222,0.5707792717715724,0.5662505465401076,0.5725226928325171
447535679,0.5693858010786832,0.5761295598098292,0.5818386729484543,0.5851560870146691
447605426,0.567640756827094,0.564355101493735,0.5674893619621112,0.5683904639596916
447675579,0.5743022662127246,0.5723171841291917,0.5749931437149621,0.5847838907150187
447745083,0.5817590173277483,0.5776037339310478,0.5785671699120912,0.5860924888903106
447812551,0.5668935735528593,0.5725878218801588,0.568132908809037,0.5666032599699987
447884380,0.5696266640164391,0.5825966590928492,0.5822101998028316,0.5803239996231021
447957000,0.5636273584508686,0.5733164461650652,0.5779900417527805,0.5870913981977959
448026527,0.5746884875558135,0.5815928362502657,0.5867718648273469,0.5857983244991467
448096362,0.5705617149102427,0.5757223902550533,0.5771244469380729,0.5766008501142832
