seed,t40a5o0i1000,t40a10o0i1000,t40a15o0i1000,t40a20o0i1000,t40a25o0i1000,t40a50o0i1000,t40a75o0i1000,t40a100o0i1000
509576939,0.5783444179567192,0.565610859081521,0.5898168232769783,0.5733179817880389,0.5820711565488597,0.5701457790891705,0.5577020081936812,0.5626328006642872
509719131,0.5727366277324103,0.5873740348925985,0.5716163637545627,0.5637631972323411,0.5642199546770821,0.5718311137294991,0.5745087467597513,0.5629022916258315
509863349,0.5802376373739625,0.573728305928569,0.5682495573769812,0.5730602747361674,0.5693541022699082,0.5690670997193183,0.5515235928098404,0.553855000809893
510008707,0.5694041411192593,0.5771179607676554,0.5830789965283515,0.5735804114785183,0.5775952201754015,0.5612112592784835,0.5567341310891788,0.5511940686932053
510157493,0.5708828599997136,0.5671954387318185,0.5711163066585236,0.5569009250298604,0.5731702304393359,0.5661388257689743,0.5512685029364865,0.5508486949316935
510306504,0.5816073239129491,0.5776991415162394,0.58349686473678,0.5837489731105718,0.5764925192224475,0.5761363839237758,0.5580516310724256,0.5589865902897054
510452949,0.5824784550178841,0.56792037773389,0.575712765887026,0.5723899165585964,0.5607310710439524,0.5550361697200639,0.5678492137405751,0.5605648966512465
510607540,0.5725675354489322,0.5800671545852254,0.5807388058355553,0.5778419495029314,0.5673948850125449,0.5716448366275779,0.5617983791879613,0.5608906031581744
510758191,0.5876403188615693,0.5765294194373448,0.5687400600125894,0.5851847686787672,0.5674121654321045,0.5587175697913722,0.5593812669344297,0.5464694000823858
510911520,0.5783904216361961,0.582021863803893,0.576147528084831,0.5682945198825416,0.5751573826059111,0.5614286961777711,0.5511751436940647,0.5584802236947244
