Number of Topics,Gensim,Mallet,Sklearn
5,168.18942832946777,85.39813327789307,51.30981945991516
10,172.34302711486816,87.00653314590454,75.0242350101471
15,182.57997274398804,96.9378023147583,120.48719787597656
20,177.38219118118286,96.84722876548767,146.57636070251465
25,179.78858399391174,102.02771162986755,169.53835463523865
30,183.75467562675476,120.41197872161865,202.401043176651
35,196.5845856666565,108.62922477722168,229.30421781539917
40,194.6619234085083,106.21755790710449,266.703227519989
45,197.44516038894653,109.65872812271118,282.74325919151306
50,199.07639479637146,124.31770730018616,297.5998589992523
55,206.87171626091003,112.85130071640015,330.45368576049805
60,208.0263969898224,119.21555852890015,355.4394385814667
65,209.60831499099731,128.48151803016663,391.4181034564972
70,214.09439373016357,119.11559510231018,423.4398453235626
75,235.46903347969055,119.92582130432129,453.9198229312897
80,226.67967009544373,122.0269787311554,504.0971007347107
85,236.36969995498657,120.69283151626587,534.8792207241058
90,244.44865322113037,132.94597244262695,557.9592320919037
95,256.53365325927734,122.9969744682312,602.6122879981995
100,341.2511489391327,123.2101001739502,634.6068134307861
