seed,t35a5o0i1000,t35a5o100i1000,t35a10o0i1000,t35a10o100i1000,t35a25o0i1000,t35a25o100i1000
446270944,0.5829935555974366,0.5769035069627888,0.5716623365782552,0.5728594644036392,0.5813379778925117,0.5790689848404793
446376232,0.5716376550371274,0.5772806207151543,0.5631537417803064,0.5571852333788396,0.5770480380681272,0.5863316615037153
446482283,0.5735158792867537,0.5761681315789754,0.5694366643416268,0.5703921105791431,0.562050895117394,0.576605146282083
446588625,0.586209429627248,0.5813356093997449,0.5734809616311765,0.5810526530768402,0.5683627582136276,0.5846012309987401
446697514,0.5756153015076508,0.5829207057443448,0.5716045030395787,0.575081106454748,0.573596733624494,0.581547919087644
446808180,0.5699241427307535,0.5658336584089956,0.5777741028586897,0.5798340162554694,0.5759894294633098,0.5872392240891054
446916667,0.5777585861195748,0.5753560761690348,0.5772086595569781,0.5743801668456963,0.5731884850345381,0.5819327457798436
447019149,0.5729022738065979,0.5683587021290821,0.5740458174706915,0.5784071470806347,0.5692320771802328,0.5752647458914264
447130180,0.572634572520631,0.5731807195120734,0.5734305742784298,0.5801717627898754,0.5672420624482284,0.5602821743648274
447241545,0.5803485901157349,0.5844325952947874,0.5731791563348734,0.5760975586357753,0.5707247557326394,0.567761413669582
