seed,t20a25o200i1000,t25a25o200i1000,t30a25o200i1000,t35a25o200i1000,t40a25o200i1000,t45a25o200i1000,t50a25o200i1000
458286425,0.560104872943496,0.577682500949209,0.573962660740202,0.5808871106182427,0.5925918391445836,0.57674874472019,0.5797314212521224
458404204,0.5699517520271125,0.5701720212226159,0.5749459069384242,0.5700766414191242,0.5819026811637384,0.5816414291539505,0.5833787618628312
458528763,0.5608609470231888,0.572148159896815,0.5615070231321254,0.5865448936234253,0.5825281244011145,0.5766451912113093,0.5728710180818819
458657147,0.5690784597117212,0.5815241355836475,0.5619779613473205,0.5827097471132003,0.5779476414526232,0.5818850697660222,0.5826086259593273
458789218,0.5652513666394332,0.5785222788090778,0.5715466076077937,0.5723951369667265,0.583542916842816,0.5767731339975507,0.5754698298419243
458916304,0.5708443905848661,0.5794166919071586,0.5774233978368621,0.586961443059691,0.5682464176503006,0.5808970487458605,0.5720210922067173
459033041,0.5422074820653302,0.5774379137425472,0.5855477259046372,0.5726113284311997,0.5907647533295128,0.5876386323796663,0.5904695844567134
459154970,0.5860291856626455,0.5723619659143894,0.5794471350493196,0.578936490640077,0.579976553687977,0.5824490287378721,0.5866542502859439
459274880,0.5662199558242121,0.587500491873914,0.5688603329458011,0.5833034813562169,0.5838835102295482,0.5782009433839822,0.5869241284894087
459390985,0.5663813760144113,0.5833377010864198,0.5750927248828093,0.5777622595438711,0.5770806117530123,0.5762403917417243,0.5826476648685427
459510469,0.5651137982432032,0.5664518503685985,0.5764364322447739,0.5824848912292507,0.5814888471550328,0.5757698394444066,0.5786167068391493
459636296,0.5613144073399755,0.5751525044560348,0.5802898552280141,0.5827953138962205,0.5877253497671024,0.5744021148944053,0.5628840635328232
459752753,0.5703847730882076,0.5811491533293303,0.569929779260324,0.5745955014869468,0.5687819093660744,0.5753751814092509,0.5791563780625363
459877774,0.5638702379704535,0.569798017440976,0.5762251495674021,0.5721913334816777,0.589053204758419,0.5814989164202019,0.5778971273044992
459994024,0.5786156869363221,0.5754596279102782,0.5657783421896828,0.5703595928018249,0.5752939695074282,0.5831061728462598,0.58061756154587
460111068,0.5668883840813269,0.5761823122073642,0.5812398906553723,0.5816775145215324,0.5910149989376479,0.5931795951654084,0.5676653280247578
460231868,0.5668652577487358,0.5715114464680439,0.5825803347922401,0.5797746747527506,0.5834649365545939,0.5842990554425831,0.5849569935974531
460353598,0.5596328010095594,0.5690965428858372,0.5586751171117744,0.5791148916719216,0.5780337059699922,0.5827198461367048,0.5777239873282007
460474976,0.5739233304758178,0.5789810276094634,0.572975920093502,0.5690938004293944,0.5859529331491463,0.5844641668454269,0.5721545711540542
460595785,0.5679856753856785,0.57013416657102,0.5678437005463326,0.56707125834212,0.5769186472556773,0.5875511157706113,0.563859167944087
