Number of Topics,Gensim,Mallet,Sklearn
5,0.46822260443172964,0.45063298082823805,0.450110969007323
10,0.5107459880632051,0.5025600487897524,0.49496183778180525
15,0.5346652740350154,0.540115776421784,0.490000150831974
20,0.5149488595547549,0.537141995666534,0.5041937310796418
25,0.5134972236976758,0.563563252309707,0.4914475258096399
30,0.5177662585540074,0.5510656271930807,0.49334457137564675
35,0.5203252355609143,0.5796348469112053,0.49081192720177974
40,0.4960651024358912,0.5672254788591969,0.4682254372143248
45,0.48254706350253024,0.567808452305514,0.4737386224343002
50,0.48581007966366513,0.5489976958534232,0.4851994601207377
55,0.493563275356077,0.5626899174831939,0.4840758891526427
60,0.49353332596999555,0.5504953936888833,0.46382741881508693
65,0.4794922766842115,0.5532473958946943,0.47386044334988836
70,0.4758169125354449,0.5552619420593696,0.5010154631148269
75,0.4765278524318958,0.5615063184280815,0.49164053516851985
80,0.48145098412249787,0.5533679020829575,0.48085904393794926
85,0.4691388741455624,0.545418733097336,0.4882833275712391
90,0.4804743249476556,0.5520942865062364,0.49251130890431616
95,0.48583050857138127,0.5481087826877094,0.49924057140696915
100,0.4803839898928672,0.5423329760465739,0.5016097139309528
