Number of Topics,Gensim,Mallet,Sklearn
5,167.90969347953796,84.47655892372131,52.30624794960022
10,170.81591153144836,85.81847786903381,74.16769027709961
15,173.44754266738892,88.88557934761047,110.12254214286804
20,175.5514407157898,97.37820720672607,134.68740153312683
25,184.8828809261322,135.10205817222595,158.0736026763916
30,181.1511733531952,130.76001048088074,185.5754566192627
35,185.8766860961914,103.98165035247803,213.87242221832275
40,189.84872221946716,120.93527698516846,238.5690460205078
45,193.8771686553955,104.34476280212402,266.21666407585144
50,214.17157769203186,125.65041255950928,291.1729485988617
55,198.86085414886475,125.89265561103821,315.2046389579773
60,203.23457646369934,115.34238648414612,354.5579333305359
65,213.42990922927856,127.52754592895508,373.1925964355469
70,210.84013557434082,117.20212388038635,413.8501708507538
75,218.47743797302246,119.42153358459473,423.4433877468109
80,226.96849060058594,131.5138759613037,446.6290240287781
85,243.5787172317505,118.76125955581665,480.190753698349
90,239.10092902183533,120.63524007797241,502.75914549827576
95,259.7936182022095,131.01655554771423,561.5215528011322
100,342.44009590148926,122.84865355491638,586.8337671756744
