Dominant Topic,Document Count
1,268
2,521
3,887
4,446
5,171
6,700
7,651
8,604
9,452
10,402
11,647
12,786
13,413
14,328
15,405
16,340
17,457
18,568
19,283
20,427
21,382
22,586
23,813
24,430
25,364
26,646
27,340
28,498
29,650
30,513
31,311
32,579
33,533
34,443
35,1119
36,832
37,520
38,333
39,288
40,592
