Topic,1980 to 1980,1981 to 1981,1982 to 1982,1983 to 1983,1984 to 1984,1985 to 1985,1986 to 1986,1987 to 1987,1988 to 1988,1989 to 1989,1990 to 1990,1991 to 1991,1992 to 1992,1993 to 1993,1994 to 1994,1995 to 1995,1996 to 1996,1997 to 1997,1998 to 1998,1999 to 1999,2000 to 2000,2001 to 2001,2002 to 2002,2003 to 2003,2004 to 2004,2005 to 2005,2006 to 2006,2007 to 2007,2008 to 2008,2009 to 2009,2010 to 2010,2011 to 2011,2012 to 2012,2013 to 2013,2014 to 2014,2015 to 2015,2016 to 2016,2017 to 2017,2018 to 2018,2019 to 2019
1,1.661132548971134,1.5166675714035402,0.5226757850857608,0.6712280088145037,0.93539561537971,1.6032683347199992,2.3576069286028885,1.5021298295213377,2.259969242414949,2.9683743272241503,7.46460834254895,2.5733014341781537,4.213063065107594,3.330589856444705,3.832907390934811,7.414754825892514,8.887651604787282,6.584959100823902,8.570246803543254,6.521191618689337,17.98573418133521,6.987178348972622,8.193893497011862,8.514387508537677,9.63228517566607,21.658361526815636,10.610545050230131,10.520044877562642,10.305476804434493,11.39202401168897,23.390323764739765,15.600592352569906,15.358496427722951,15.393612583260229,22.51346591171231,15.46277943421176,14.817628712076196,20.582387818481415,18.272492416252625,8.860675612882357
2,0.9535674119713524,0.6669954173816083,1.296985167750988,1.4397035269344105,1.939585720713212,4.462085246522932,3.734719339457862,2.1544858616616915,2.681785451608714,3.3246400598791936,4.760650225115517,4.065881481964722,2.076209440472459,5.72194515963678,5.09996501504412,5.005339842412926,3.8736893183535672,7.846406410009486,5.6254689091742325,5.730717142860048,13.308030113115265,4.966181392027701,7.038074737991773,6.071007106376673,5.769184536651931,19.008947621379807,5.634377460782165,8.137554235360653,8.73112729376698,12.669102907103992,25.091264590794346,13.789661494992474,21.804989036107628,17.581387533441475,33.422601867864934,21.936735147150188,20.123710171380598,41.89708971380518,22.303448369864892,15.072467361174258
3,4.404506312841854,6.488503006465441,3.9747345761979873,3.8489316187992375,13.481284010578849,11.168960009339813,11.393892874977132,9.503430693992764,8.631979866536602,11.241107579464762,18.190002939839314,11.288163511767012,10.625913683360862,13.352353951587926,11.17818650319786,15.028026128936483,13.252450840447208,13.945503757382527,13.240039340011087,16.4319666050006,30.82217251587048,12.878648844331702,14.914565512813914,13.341711358809455,14.486313410478134,25.673380385113617,12.313340598389441,13.790689418955624,19.95305758726344,21.80541079278152,49.82013301462728,33.665175497622336,37.70362998172374,31.113739805078037,44.1602323822976,23.747132722586827,24.6608302743702,58.48281857694228,55.625538103071115,66.39510351955775
4,0.729073910797397,0.6051650419012877,0.4319141546924356,0.7408684698848771,2.590764590529519,1.7845935076431776,1.4734649840449796,1.5140426386240322,1.8310101567227004,2.603794176496425,4.90328548651629,1.4001547353947035,2.6388782688356276,1.660986534780461,2.4194188199339344,3.712296946275876,2.7394059259345376,3.977943420539027,3.410961489643616,3.567350196657024,9.182955996963571,2.6018845685818675,3.293741705363279,3.9848623077998107,5.193109410811493,13.160618863452644,6.549861851632188,8.594697020839929,9.937514539684942,9.942367810048388,27.786576918642655,11.061120214360717,24.05461612536821,27.928926235338228,45.1026246304101,28.392389885020712,28.46744621162251,57.92368662919337,42.01641549567846,22.203325759629855
5,0.4189316353434188,1.1538831433836156,1.7424622938012009,1.259541508148676,2.3886486762794337,2.580431268296869,2.481381261847115,1.9025913055416104,1.527405860711244,3.6401651279684186,8.145232420266474,4.4910698398556335,5.822589834822724,5.335467378633428,5.468041311514198,8.596139232101738,7.156407238965227,7.845440077018335,7.423531851360575,7.415673928081617,16.8044714017694,4.585179821862143,5.916263641260029,6.611938298165767,5.275587313312313,16.4539276934012,7.251161202715495,8.641328153228105,7.062398206462872,7.97145625386793,16.033844461251135,8.38825410058368,8.439578703796725,10.615837536806358,17.723592773241712,10.694370508025921,10.964635209203262,22.396757762364498,13.843628103076988,7.608911274483422
6,1.0006083669343495,1.2771222580829404,1.5833250177100537,0.8599911858550062,4.591892360889664,2.8679635007744393,4.936752282123775,4.743260274026234,2.4966406155585106,6.698150954642662,8.485263513167288,8.312555505297713,7.043997957862774,11.714803135481349,9.247398361045297,16.342910451683487,12.17700434565542,14.879804497661064,14.665455655897118,15.340426769172248,33.10752757359493,14.50510116202625,15.520184677913717,15.310306705537558,14.74018258464907,33.346824095661816,13.480682422546527,13.91567927214137,17.194052683410373,19.225285096231357,33.87253021532475,24.141703227685998,24.785538474415777,27.253089611633655,66.86839776214231,27.221002242894095,21.732621386454017,44.54514039456009,29.01492384744951,15.059784496593158
7,2.1854150818656732,3.1524436032073586,1.8188539831053852,1.7271484384863158,4.854219424333644,11.468426203846855,10.868462063664463,10.300293411894867,8.657989501605444,10.867751274536166,20.744254758058315,12.266061327547572,9.556061946897632,9.862394829354184,9.942938184143259,12.406889102231432,12.5117436562014,10.378600537400247,7.267048989486158,10.019974071882384,23.669758023406477,7.733842277403597,4.399618209830521,7.629658339963354,7.759262946229689,14.880109799177726,8.408226090306727,9.412131537793286,10.630272561109374,11.57218750014138,29.625968921937186,11.581306999704653,10.213029443851426,11.592035850382528,15.534000364305912,9.08253735314952,11.394384948315961,16.88135573369611,15.400282889927695,16.680088983740188
8,1.625346146488033,0.8284543571827347,1.3614235283980733,1.0565988663101529,1.598578464274543,2.757742558226294,1.325572538706846,1.8890447336885932,1.9329583274313253,3.298803958998749,2.891464498629459,3.6055164945051152,3.9907840653047173,2.6374019434445306,5.904287610240046,8.930205434070388,10.482882888286996,11.306843809573953,14.603822820743458,8.11713265313609,26.97592015074011,8.98439927583732,11.152082163690368,13.06642892277803,8.972769804923432,23.981396796100533,10.991462018630223,9.99754193649968,11.797405258480907,15.211180862281788,33.38700682638033,14.055399475399419,19.502806230882232,20.034922715948934,35.87467433799224,18.014256374241764,13.726188135136269,22.81501624796627,15.934873598007544,9.611452985175188
9,0.7832575000600623,0.533999315605362,0.37980363316527843,0.5119189517301619,2.2289487419586322,1.7838134632906775,1.4419798779822754,2.3880416010099204,0.8159921817371805,2.928470022410675,6.32329944052541,3.9099238115976283,3.396647747610025,2.1497305984775266,4.66067782185507,2.135904662355139,3.859167347687759,3.7556033755760367,4.23877080866386,5.790036516889508,13.619762733021474,3.497832902963007,6.239461210796367,11.734379122486382,5.813932916104264,20.6728028079816,7.307748811743886,9.382156208803593,8.413417963839645,7.173263455860604,23.14688760766461,12.49759953030373,15.435837704870478,14.899326084209065,17.276262471937244,17.90236233422292,16.491114643110805,40.186490254743354,22.262788955437273,18.023476509396104
10,1.6173578562379478,1.1572198854063076,1.841389653706617,2.553295632375398,3.409594933617421,3.4797502002109284,3.6926818250457316,2.466977773642541,1.9198205348509274,3.511519112069621,3.57632463920389,3.302276537064396,2.818429195098285,2.8724720366797794,2.4415737454931103,3.22617564931546,4.570774356748893,6.965409845622672,4.558062383407477,2.4445422142432074,8.995413826629497,6.3998139892641985,2.9907997041041057,3.418092826958553,4.366651612130553,9.556151933341036,4.646360432823634,10.361022533130711,7.622114147768925,12.331704138835072,20.29570776279221,9.617020787294859,15.70006381964709,12.977099092620803,24.369176812927144,13.312143632590624,9.463079300918267,23.59019629889535,14.72872884511485,9.706417976857
11,1.8637872374427282,1.4844444879384888,1.2726247451299426,1.3272392571968892,2.347613233522662,2.6938735083394025,4.450847231726707,2.3477835567610805,3.556937624486509,4.618583975937699,15.544900910242344,6.618390597142826,9.36668922947569,10.353644782769113,10.878259600708692,12.986917488210844,7.491493905481163,10.49550249020359,14.063805951940202,16.53748437212084,29.752533648346407,7.9951521574949,11.956887129817433,9.43372027689185,8.802386100234363,29.77101832535717,8.786902703107081,9.39572025938278,10.085693188830174,17.344431851736257,37.96095472361528,19.034691048290856,12.20621313457401,14.575698817350457,45.16088250209562,20.870285375624697,17.31011218071461,46.50437129136586,17.281084971644372,14.753599782265388
12,1.4317253349767038,4.577514338395938,4.740613488671591,10.71141711454656,24.540648103768152,23.355508426560075,19.111342231983564,21.35403696972972,11.188416727427287,15.89499492067586,31.164636722261957,15.09245008897537,15.354675840729882,17.121146695258737,15.302434629883791,15.973742103372302,13.334743270228119,13.978071271172894,10.94571671543329,7.606330714371233,31.891477957531727,8.288072501433637,7.600590554449254,9.896279508341634,7.767691222779416,16.63935190254695,10.99750073452355,8.786735814463416,10.307176006410312,12.538040365202406,22.86461172862999,9.025599158331751,13.412908065371564,20.13296023019349,24.835472433303945,11.803939126565457,18.06077860615447,18.045663534581866,9.404631023884614,8.740464192172336
13,2.5654488010707235,2.682143911808605,0.8631097550122048,1.9420470975201753,7.354185818341595,6.240391063330032,6.770449260189105,7.24339376400429,7.18657127342309,10.297416784792091,25.69926646300301,8.176576526502025,6.189268825918574,12.491708832713442,11.474951966612663,15.288864433316409,9.983400156463187,8.835492625001196,17.295069623543473,9.275116683722063,18.856419673781108,7.479123726830885,5.771009334586085,10.562027145918206,6.122285553640049,13.129183203252632,6.809083455470671,6.610847034749008,4.832394602438964,9.305139359331594,16.27971880822602,8.735614320270402,10.048840751378819,11.40867835239521,20.041245070608266,11.43070678539624,11.262857016980316,20.71908633671898,13.904376470957411,8.31808266397588
14,1.9315225015683704,1.3731394179263294,1.096263299132017,1.3897475202820788,2.5875968988076083,2.7311525126631966,3.7829049876097636,3.5132621908716395,3.214345246270325,4.100565772622732,6.435242617277434,3.7202870770411063,4.812226716570581,4.905195744786574,5.789976901755512,5.486376284276095,5.227290233427606,7.395290636101594,6.306126812016302,6.752930849194868,15.786974734245952,4.765274615575797,4.829377785062968,4.289833676426566,4.92556038874593,14.321975419660394,6.9847755938014515,8.069555925150844,6.526510340593764,8.582869320635295,23.1863581865908,12.729973413869029,16.375079799842982,17.45928674039802,28.2296346412306,22.560372550094296,20.973898910282166,43.25910942205133,31.317637098582605,18.8370558487013
15,1.04248185467956,1.5164392041499157,1.00972082017602,3.2463274868196317,3.288220588018214,5.379005493930551,3.37718895207898,3.1025438143699744,3.8144438758943706,3.4304310153736495,14.837441352543209,5.231758444073964,6.553126640245094,8.120959074179487,7.97991002645006,10.14153374305863,10.876625965684589,11.056429559473179,11.800354732472622,11.08023933046925,20.42493297271669,12.31690219369818,13.10837876702132,9.56789408144515,10.983115172457415,23.345037523986875,13.732721444433604,14.825491173735331,12.068604176759068,14.137239424887696,31.80484263795841,20.982533865900855,19.95162623582494,18.507521994202627,31.373561248161263,23.188322230508966,19.035769796304706,39.291129726148924,26.04969836180719,19.561947953088183
16,1.4625172773896398,1.4279000586095365,1.6151311640230546,2.0465723092716237,3.215412542417852,4.63698080924321,3.3204206195043597,3.617839760986138,3.5836519091695553,4.838366505119148,11.248481577193562,6.55223369641995,7.358440527474632,9.041481813219185,9.3964566865106,11.087304524746145,7.318176446692556,8.873062945664342,12.725474480301529,10.818971389068114,23.771324213052033,9.392935806856443,8.371124061881552,9.891078337812678,9.81665859108948,24.856282729306578,14.82488944659161,16.73748391564067,13.63737840027197,16.961443392392837,45.62206410194339,20.715527390022377,26.573428713852337,26.224279501024725,51.93464920106784,30.231092671927293,29.13266543812476,63.4474749349178,41.81566587154527,22.730694972930714
17,1.2759868083479262,0.9286718545721853,2.2932317700869436,0.9768866176319883,3.379467564665534,3.0503448520795304,3.65929202387937,3.8560987939586617,3.7592298970530535,3.8355317129470374,8.871574194426406,4.048105208381075,5.1838434546509955,5.072196963816161,7.823150018471947,9.846472136084063,9.453853682686107,10.038883754174343,12.600000613263862,13.213173770843289,29.07687178367843,9.969303073889494,9.264835548805406,10.990037919409504,11.69336223301077,21.698129959709863,10.967001327144983,12.515323719372525,13.430439484619829,15.093659411111581,42.74496532413622,20.59444907111079,24.1646689516174,27.56925934435231,41.69394841062286,28.81291298991057,27.418112959769985,55.51442224168094,36.644254878261684,19.044943880911735
18,4.086089894694895,2.1405440336745247,2.1167731124259577,4.239689163609466,7.32229282081853,7.608994353359533,8.232816298842701,7.148420938622947,6.867405230049782,9.208104398668542,11.931624830256416,8.196556180730981,7.810649443934373,9.23373650046125,11.636099367207285,9.91319641661413,8.84619883959258,14.038090432008318,19.006032138143546,15.931153913846233,19.268859433236262,10.476256454363574,8.35025139848247,12.700595200117428,12.251664189779603,21.790563883232227,20.00726364905602,16.78181740850966,15.535024049876013,20.316332585500895,35.1575075066141,14.909313637985315,21.77318095838847,19.56987012576187,29.111887885876037,23.66904870695337,18.31140375755477,32.20137373896148,21.70462236730814,15.644382095389794
19,2.230140688971677,1.5972896515294501,1.622424470038829,1.3642419959048053,4.007406868492961,4.806268032577495,4.508431517459999,3.2970641856335923,2.804712391030491,5.1825459925234245,7.959976005799048,4.114165832794468,3.763953383423366,5.236880638883793,4.282261701208378,5.923286403494682,5.158654869733258,6.383734181207584,10.664561218245042,8.802305089871584,23.473076413032913,5.355388100160593,6.226150802778903,7.3185203553616605,7.139386636458837,23.807518095259883,7.081089135438054,12.117507416604248,11.487779800503835,11.104940260683321,28.73036492953469,19.47595597856307,17.582504611507687,19.670770689788508,30.95781504402583,20.003334807465723,19.649478351921616,36.772532689156044,24.502745804284572,20.25627165640696
